0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:27:48 +0530] "POST /shoppingcart/editSupplier HTTP/1.1" 500 10549
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:24 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:24 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:24 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:29 +0530] "GET /shoppingcart/selViewCategory HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:32 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:32 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:32 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:34 +0530] "GET /shoppingcart/selAddCategory HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:34 +0530] "GET /shoppingcart/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:43 +0530] "GET /shoppingcart/selViewCategory HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:46 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:46 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:46 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:48 +0530] "GET /shoppingcart/selAddCategory HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:28:48 +0530] "GET /shoppingcart/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:10 +0530] "POST /shoppingcart/addCategory HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:11 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:11 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:34 +0530] "GET /shoppingcart/selDeleteCategory HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:38 +0530] "GET /shoppingcart/deleteCategory?cID=3 HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:38 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:38 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:50 +0530] "GET /shoppingcart/selViewCategory HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:53 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:53 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:53 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:29:57 +0530] "GET /shoppingcart/selViewSupplier HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:03 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:03 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:03 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:06 +0530] "GET /shoppingcart/selViewCategory HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:09 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:09 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:09 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:13 +0530] "GET /shoppingcart/selViewSupplier HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:20 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:20 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:20 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:23 +0530] "GET /shoppingcart/selDeleteSupplier HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:27 +0530] "GET /shoppingcart/deleteSupplier?sID=3 HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:27 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:27 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:30 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:30 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:30 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:47 +0530] "GET /shoppingcart/selViewCategory HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:50 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:50 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:50 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:55 +0530] "GET /shoppingcart/selDeleteCategory HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:58 +0530] "GET /shoppingcart/deleteCategory?cID=1 HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:58 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:30:58 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:20 +0530] "GET /shoppingcart/selViewCategory HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:24 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:24 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
