0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:59:04 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:59:04 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:59:04 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:59:04 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:59:08 +0530] "GET /shoppingcart/clickCart HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:59:08 +0530] "GET /shoppingcart/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:59:08 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:59:08 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:51 +0530] "GET /shoppingcart/clickLogout HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:51 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:51 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:51 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:51 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
